"CODICE_VIA";"NUMEROCOMPLETO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
335;"";8;1514882,3259;5034180,186;514881,6329;5034085,8104;1023064,6653;5694254,3468;45,460099999999997;9,190300000000001;0;182837;0
336;"";8;1515003,5113;5034042,0494;515002,8127;5033947,6783;1023236,7369;5694056,6067;45,4589;9,1919;0;182838;0
337;"";8;1514840,9955;5034266,7262;514840,3045;5034172,3478;1023006,111;5694378,1115;45,460900000000002;9,1898;0;185959;0
338;"";8;1514925,6256;5034369,9776;514924,9306;5034275,5958;1023126,9562;5694525,325;45,461799999999997;9,190899999999999;0;182839;0
339;"";8;1514854,5378;5034424,9968;514853,8462;5034330,6132;1023025,9251;5694604,1643;45,462299999999999;9,19;0;182840;0
340;"";8;1514847,1609;5034502,4308;514846,4696;5034408,0447;1023015,6821;5694714,8101;45,463000000000001;9,1899;0;182841;0
341;"";8;1514763,1679;5034529,6538;514762,4805;5034435,2668;1022896,1796;5694753,9834;45,463299999999997;9,188800000000001;0;182842;0
342;"";8;1514763,2399;5034492,7937;514762,5525;5034398,4079;1022896,1588;5694701,3251;45,463000000000001;9,188800000000001;0;185960;0
343;"";8;1514775,5733;5034466,2233;514774,8853;5034371,8384;1022913,6308;5694663,3256;45,462699999999998;9,189;0;185961;0
344;"";8;1514776,6042;5034330,2811;514775,9162;5034235,9006;1022914,6435;5694469,1194;45,461500000000001;9,189;0;182843;0
345;"";8;1515548,835;5034844,1854;515548,111;5034749,7882;1024015,9653;5695200,6266;45,466099999999997;9,1989;0;182844;0
346;"";8;1515397,9039;5034418,9168;515397,1869;5034324,5334;1023799,5665;5694593,6103;45,462299999999999;9,196899999999999;0;182845;0
347;"";8;1515649,8267;5034905,9361;515649,098;5034811,5369;1024159,9891;5695288,4901;45,466700000000003;9,200200000000001;0;182846;0
348;"";8;1516008,9253;5035014,9163;516008,1799;5034920,5135;1024671,7198;5695442,8968;45,467599999999997;9,204800000000001;0;182847;0
349;"";8;1515631,6176;5034987,3556;515630,8897;5034892,9537;1024134,3488;5695404,878;45,467399999999998;9,199999999999999;0;185962;0
350;"";8;1515564,2478;5034961,1867;515563,5231;5034866,7857;1024038,3247;5695367,7296;45,467199999999998;9,1991;0;182848;0
351;"";8;1515667,582;5034974,7641;515666,8525;5034880,3626;1024185,5161;5695386,7606;45,467300000000002;9,2004;0;182849;0
352;"";8;1515527,4268;5034550,6117;515526,7038;5034456,224;1023984,4486;5694781,2926;45,463500000000003;9,198600000000001;0;182850;0
353;"";8;1515051,9838;5033980,1397;515051,283;5033885,7706;1023305,5384;5693968,0043;45,458300000000001;9,192500000000001;0;185963;0
354;"";8;1515234,7998;5034414,2518;515234,0904;5034319,8686;1023567,3177;5694587,5139;45,462200000000003;9,194900000000001;0;182851;0
355;"";8;1515026,816;5034009,6865;515026,1163;5033915,3164;1023269,8067;5694010,2972;45,458599999999997;9,1922;0;182852;0
356;"";8;1514923,5819;5034332,7637;514922,887;5034238,3831;1023123,9205;5694472,1698;45,461500000000001;9,190899999999999;0;182853;0
357;"";8;1515378,2535;5034360,0663;515377,5375;5034265,6848;1023771,3827;5694509,6072;45,4617;9,1967;0;185039;0
358;"";8;1515104,8273;5034161,455;515104,124;5034067,08;1023381,3938;5694226,831;45,460000000000001;9,193199999999999;0;186614;0
359;"";8;1515299,359;5034324,3909;515298,6466;5034230,0106;1023658,9276;5694458,9181;45,461399999999998;9,1957;0;182854;0
360;"";8;1515497,7717;5034868,4502;515497,0501;5034774,0522;1023943,3401;5695235,4732;45,466299999999997;9,1982;0;185964;0
361;"";8;1515646,4986;5034725,2453;515645,77;5034630,852;1024154,6094;5695030,356;45,465000000000003;9,200100000000001;0;185965;0
362;"";8;1515575,6265;5034840,86;515574,9012;5034746,4629;1024054,1026;5695195,7809;45,466099999999997;9,199199999999999;0;182855;0
363;"";8;1513919,2953;5034788,776;513918,6472;5034694,3807;1021695,442;5695126,9241;45,465600000000002;9,178000000000001;0;186362;0
364;"";8;1515104,8755;5034577,4971;515104,1722;5034483,1086;1023382,8862;5694821,1725;45,463700000000003;9,193199999999999;0;186649;0
399;"";8;1514868,692;5033953,1193;514867,9997;5033858,7511;1023044,4889;5693930,0297;45,458100000000002;9,190200000000001;0;182856;0
401;"";8;1514727,241;5034114,5857;514726,5553;5034020,2122;1022843,64;5694161,1578;45,459600000000002;9,1884;0;182857;0
402;"";8;1514961,3398;5034034,3925;514960,6432;5033940,0216;1023176,6695;5694045,8124;45,458799999999997;9,1914;0;182858;0
403;"";8;1514736,1957;5034008,6703;514735,5096;5033914,3003;1022856,0358;5694009,8286;45,458599999999997;9,188499999999999;0;182859;0
404;"";8;1514855,4576;5033905,8284;514854,7659;5033811,4617;1023025,4875;5693862,521;45,457700000000003;9,19;0;182860;0
405;"";8;1514754,4068;5033867,4821;514753,7198;5033773,1167;1022881,4917;5693808,0852;45,457299999999996;9,188700000000001;0;182861;0
406;"";8;1514697,6046;5033889,7861;514696,9202;5033795,4199;1022800,6962;5693840,1354;45,457500000000003;9,188000000000001;0;182862;0
408;"";8;1514883,366;5033828,6521;514882,673;5033734,2879;1023064,961;5693752,1844;45,457000000000001;9,190300000000001;0;182863;0
409;"";8;1514839,2339;5034045,2095;514838,543;5033950,8383;1023002,8581;5694061,6779;45,4589;9,1898;0;182864;0
410;"";8;1514945,8433;5033936,6462;514945,1474;5033842,2785;1023154,2755;5693906,237;45,457900000000002;9,1912;0;182865;0
508;"";8;1514737,058;5034468,7156;514736,3718;5034374,3306;1022858,7993;5694667,0152;45,462699999999998;9,188499999999999;0;186363;0
509;"";8;1514600,5032;5034413,7797;514599,8234;5034319,3965;1022664,185;5694588,9904;45,462200000000003;9,1867;0;185040;0
510;"";8;1514629,4186;5034358,1709;514628,7374;5034263,7895;1022705,1712;5694509,4535;45,4617;9,187099999999999;0;182866;0
511;"";8;1514270,8374;5033899,098;514270,1729;5033804,7316;1022193,1323;5693854,8419;45,457599999999999;9,182499999999999;0;185041;0
512;"";8;1514580,2159;5034657,4223;514579,537;5034563,0312;1022636,1041;5694937,1254;45,464399999999998;9,186500000000001;0;182867;0
513;"";8;1514191,28;5034288,5444;514190,6192;5034194,1653;1022081,1172;5694411,4236;45,461100000000002;9,1815;0;182868;0
514;"";8;1514591,2023;5034470,9389;514590,5229;5034376,5539;1022651,131;5694670,6777;45,462800000000001;9,1866;0;182869;0
515;"";8;1514280,9976;5033970,0528;514280,3327;5033875,6841;1022207,8271;5693956,1653;45,458300000000001;9,182600000000001;0;182870;0
516;"";8;1514726,7221;5034466,2624;514726,0364;5034371,8775;1022844,0745;5694663,5453;45,462699999999998;9,1884;0;182871;0
517;"";8;1514681,1061;5034502,1536;514680,4225;5034407,7675;1022779,2438;5694714,9714;45,463000000000001;9,187799999999999;0;182872;0
518;"";8;1514651,1991;5034534,5067;514650,5169;5034440,1196;1022736,7681;5694761,2907;45,463299999999997;9,1874;0;182873;0
